Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0013006973928875393    8398                     4.282982000847756        4.026290574304105        -0.042466920870155314    1.5800632384332676       0                        0                        0.9999472625             0.05                     0.7340742761269211       0.0005                   0.2908881360044082       2e-06                    0.06640625               1.3037095                1.042895                 
200                      0.14089716924561393      851448                   7.757140119752577        9.03392745351578         0.05459471439331013      1.1652358215834426       0                        0                        0.989409475              0.05                     0.08460629716137191      0.0005                   0.29521393380127847      2e-06                    0.056640625              -0.036575507             0.5142329                
400                      0.2800851640436384       1695029                  8.152690923379271        10.721167728156614       0.05440799907991854      1.1652636047031995       0                        0                        0.9788650249999999       0.05                     0.07554789170899312      0.0005                   0.301123091368936        2e-06                    0.113037109375           -0.1326732               0.39222434               
600                      0.4282303645875719       2553834                  8.6014946890933          12.224970675056719       0.05440799907991854      1.1652636047031995       0                        0                        0.968131225              0.05                     0.23695364449667977      0.0005                   0.2965179646271281       2e-06                    0.109619140625           -0.021291183             0.5699261                
800                      0.5792354308896595       3420281                  9.288391594556405        13.180025610091391       0.05440799907991854      1.1652636047031995       0                        0                        0.957300675              0.05                     0.19016416216618381      0.0005                   0.2855498973513022       2e-06                    0.089599609375           0.10797891               0.5138599                
1000                     0.7323618692821926       4288023                  8.604940861353901        13.847855308276545       0.05440799907991854      1.1652636047031995       0                        0                        0.9464535749999999       0.049999999999999996     0.23073851716617355      0.0005                   0.2745939274318516       2e-06                    0.09912109375            0.004848756              0.6667628                
1200                     0.8873537131150564       5155768                  8.766073612892697        12.216559207723042       0.05440799907991854      1.1652636047031995       0                        0                        0.935607175              0.05                     0.14990020885306876      0.0005                   0.2961749844253063       2e-06                    0.111083984375           -0.017786235             0.5630725                
1400                     1.0406904796097014       6024324                  9.113397574998984        15.01032457310356        0.05440799907991854      1.1652636047031995       0                        0                        0.924750275              0.05                     0.11144095425697742      0.0005                   0.30518326174933463      2e-06                    0.10009765625            0.0032810771             0.37105078               
1600                     1.1909028128120633       6890407                  10.302243205076145       18.215100455920705       0.05440799907991854      1.1652636047031995       0                        0                        0.9139239124999999       0.05                     0.16149682260584086      0.0005                   0.2977873839554377       2e-06                    0.09716796875            -0.031607334             0.47216943               
1800                     1.3416554285420312       7753226                  11.866283901950743       17.686425288796386       0.05440799907991854      1.1652636047031995       0                        0                        0.9031378625             0.05                     0.21987083050771616      0.0005                   0.289385701646097        2e-06                    0.095703125              -0.0009750301            0.5922398                
