Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.00122082167201572      8401                     3.0054031186544816       2.888131395539139        -0.2349217615238392      1.465677076480991        0                        0                        0.9999475375             0.05                     0.308463616669178        0.0005                   0.2944722214713693       2e-06                    0.05182291666666667      0.9230362                0.8353673                
200                      0.13711960097153983      872014                   7.217980725519396        9.432562259469716        -0.17443963402366464     1.1125722447649937       0                        0                        0.989154175              0.05                     0.06065313655562932      0.0005                   0.2992810239084065       2e-06                    0.123779296875           0.07524897               0.28989738               
400                      0.27355760951836905      1742370                  9.800436787162182        14.933320237539984       -0.16898363306100178     1.103450261879804        0                        0                        0.9782747625             0.05                     0.137897780208732        0.0005                   0.29806705517694354      2e-06                    0.14111328125            -0.032689244             0.469507                 
600                      0.40874683611922796      2612550                  11.219535203128583       17.854140634658354       -0.16898363306100178     1.103450261879804        0                        0                        0.9673974375000001       0.05000000000000001      0.27105331089842366      0.0005                   0.2859541862271726       2e-06                    0.205810546875           0.022405777              0.42217755               
800                      0.5453106095393498       3482745                  11.155387779099387       20.656997006597244       -0.16898363306100178     1.103450261879804        0                        0                        0.9565200875000001       0.05000000000000001      0.2314568399451673       0.0005                   0.2976683689048514       2e-06                    0.192138671875           -0.22321439              1.0087813                
1000                     0.6826345315906737       4353123                  11.670799050268863       19.985758221921078       -0.16898363306100178     1.103450261879804        0                        0                        0.9456403625             0.05                     0.20433851469715592      0.0005                   0.2956931974622421       2e-06                    0.2041015625             -0.013904688             0.5446007                
1200                     0.8215180583132637       5223495                  11.596766501318074       22.857402169505693       -0.16898363306100178     1.103450261879804        0                        0                        0.9347607                0.05                     0.3636268373520579       0.0005                   0.29421622591326013      2e-06                    0.181640625              0.102558166              0.5823746                
1400                     0.9610022614399593       6093854                  11.653632638314487       25.53167290151736        -0.16898363306100178     1.103450261879804        0                        0                        0.9238812249999999       0.049999999999999996     0.3713759174570441       0.0005                   0.2977152105886489       2e-06                    0.190673828125           0.19153413               0.63478655               
1600                     1.1007537378205194       6960847                  13.077003938196869       25.99131030250578        -0.16898363306100178     1.103450261879804        0                        0                        0.9130434125             0.05                     0.2984757745289244       0.0005                   0.29616124188760296      2e-06                    0.22119140625            0.1840803                0.6238248                
1800                     1.2391755239168802       7823548                  13.931225816224647       27.376108454154927       -0.16898363306100178     1.103450261879804        0                        0                        0.9022588500000001       0.05                     0.3595324222405907       0.0005                   0.3096611441578716       2e-06                    0.201171875              -0.0671341               0.8011662                
2000                     1.3777340745925903       8672219                  14.149631649263974       28.45390357790532        -0.16898363306100178     1.103450261879804        0                        0                        0.8916492625             0.05                     0.2850304907769896       0.0005                   0.2975971517735161       2e-06                    0.174072265625           -0.027654946             0.8856699                
2200                     1.516314411825604        9519235                  14.084219816236727       28.941365413609557       -0.16898363306100178     1.103450261879804        0                        0                        0.8810641625             0.05                     0.38498650411801305      0.0005                   0.2984946197556222       2e-06                    0.16957720588235295      -0.054160696             0.79889184               
2400                     1.6574287301301955       10379464                 15.218050024156483       33.59006424096202        -0.16898363306100178     1.103450261879804        0                        0                        0.8703119                0.05                     0.3221847041071776       0.0005                   0.29688500163747983      2e-06                    0.2421875                0.004083349              0.80578274               
2600                     1.799336028430197        11245059                 16.383707999913817       34.91304224670206        -0.16898363306100178     1.103450261879804        0                        0                        0.8594916875             0.05                     0.38584878301138387      0.0005                   0.2963397312251961       2e-06                    0.1953125                0.051651683              0.9024054                
2800                     1.9411899191141129       12107129                 18.719315639677028       38.75496622847474        -0.16898363306100178     1.103450261879804        0                        0                        0.8487166875             0.05                     0.4048492728513392       0.0005                   0.29257023044149666      2e-06                    0.2028952205882353       0.18431234               0.6115855                
3000                     2.0833876865439946       12961952                 21.446698317075835       39.56908700853322        -0.16898363306100178     1.103450261879804        0                        0                        0.838027125              0.05                     0.3787401530717034       0.0005                   0.29164882545592263      2e-06                    0.2197265625             0.09816216               0.8926579                
3200                     2.230758673747381        13834390                 24.002674302141028       46.14135186969858        -0.16898363306100178     1.103450261879804        0                        0                        0.8271222500000001       0.05000000000000001      0.2985153995541623       0.0005                   0.29764808289473876      2e-06                    0.203369140625           -0.13997604              0.6949178                
3400                     2.380228492882517        14717916                 25.75021285846151        57.99991278966169        -0.16898363306100178     1.103450261879804        0                        0                        0.816078125              0.05                     0.3575670951104257       0.0005                   0.29853422357700765      2e-06                    0.17138671875            -0.064518146             0.65636516               
