Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.0015206336312823825    8411                     2.7465484056789826       0.0                      0.3731338941518105       1.615774868296221        0.0                      1.0                      0.9999831                0.05                     47.14265910955146        2e-05                    0.45280037069460377      4e-06                    0.13232421875            2.0621696                1.5720623                76.04989300352153        0.7128314393939393       0.5952888257575757       1e-05                    33                       0.4314859961018418       1.9516031019615403       0.0                      0.0                      6.9360628417043975       
200                      0.2825546012984382       860331                   5.196575589856714        0.0                      0.38879258734595606      1.5038534506117034       0.0                      1.0                      0.996575772              0.05                     12.119567979127169       2e-05                    0.4517642599530518       4e-06                    0.149169921875           -0.49896783              4.7195315                7.332476082970114        1.0                      0.9200367647058825       1e-05                    6786                     0.29520851548980265      1.0283163715811339       0.5252839140594006       0.617115568369627        0.3308383577010211       
400                      0.5935636006461249       1712946                  3.387078715762379        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.993165176              0.05                     10.271788424346596       2e-05                    0.43842521886108443      4e-06                    0.206787109375           -0.30331913              5.4588656                5.696464706869687        1.0                      0.9608226102941178       1e-05                    13579                    0.2889186196467456       0.9895924960865694       0.4148074723780155       0.5187949351966381       0.2142786856959848       
600                      0.9093910419278675       2567527                  4.346723267729594        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.989746984              0.05                     5.7288099131546915       2e-05                    0.44674916192889214      4e-06                    0.293212890625           -0.9353487               3.8949401                4.987173052395091        1.0                      0.9674862132352942       1e-05                    20375                    0.28837247280513534      0.9746918362729691       0.44083194993436337      0.503714581951499        0.17992987264605131      
800                      1.2149994991885291       3424265                  3.966135738686977        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.986320164              0.05                     7.752512364299037        2e-05                    0.43705066572874784      4e-06                    0.295654296875           -0.10344512              1.984365                 4.315624938291662        1.0                      0.9825367647058824       1e-05                    27175                    0.28668554740793567      0.9620414937243742       0.4093947857618332       0.46467250026762486      0.14441376223283656      
1000                     1.528120684756173        4281683                  3.7490673573214273       0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.982890384              0.05                     7.838780490099452        2e-05                    0.4633135589538142       4e-06                    0.3447265625             -0.37462452              3.4869003                3.87976178000955         1.0                      0.9832261029411764       1e-05                    33975                    0.28767456903177147      0.9543052946819979       0.4104948975145817       0.46350044570863247      0.1273638746317695       
1200                     1.8402183587021297       5142127                  4.470019617620745        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.979448672              0.05                     11.436845422256738       2e-05                    0.45023621869040653      4e-06                    0.331298828125           1.2163872                5.6692924                3.4158601340125587       1.0                      0.990234375              1e-05                    40775                    0.28682277833714204      0.9447026813731474       0.3407805897295475       0.41519444435834885      0.10557325666441637      
1400                     2.135693729652299        6004380                  5.267858945542288        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.9759996519999999       0.049999999999999996     12.977881770115346       2e-05                    0.44065339147346094      4e-06                    0.28759765625            -0.9317008               3.725324                 3.038194446002736        1.0                      0.9901194852941176       1e-05                    47575                    0.2867511791341445       0.9405810096684624       0.3338917940855026       0.40925491601228714      0.08868827670812607      
1600                     2.423525522682402        6865716                  3.7242251501029418       0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.972554496              0.05                     7.680361937964335        2e-05                    0.4473399340058677       4e-06                    0.327392578125           0.23669034               5.8083496                2.7998844315023983       1.0                      0.989545036764706        1e-05                    54375                    0.28752638136639314      0.9367391607340645       0.36718842200934887      0.4120243787765503       0.08311437201850555      
1800                     2.7157024109363554       7726842                  4.582575156821104        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.969109912              0.05                     15.094307250808924       2e-05                    0.46005498355953023      4e-06                    0.334228515625           -0.4780601               5.347851                 2.545339724596809        1.0                      0.9913832720588236       1e-05                    61175                    0.28545143499093895      0.9427052560974569       0.2997923390939832       0.37883902341127396      0.0747697015895563       
2000                     3.0017663760317697       8588566                  4.509477151502387        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.96566294               0.05                     13.449194834101945       2e-05                    0.4625662449398078       4e-06                    0.395263671875           0.6635697                5.5979915                2.3305631104637596       1.0                      0.9888556985294118       1e-05                    67975                    0.28942367960424986      0.9213991235284245       0.28861792851239443      0.3703842516988516       0.06840432172312456      
2200                     3.2932965469360354       9450287                  4.522399553678139        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.9622160799999999       0.049999999999999996     15.75483417371288        2e-05                    0.4582223343895748       4e-06                    0.2939453125             2.5126395                9.412209                 2.1111978502834545       1.0                      0.9867876838235294       1e-05                    74775                    0.2915958762168884       0.9095203701187582       0.3128980230540037       0.3814877513796091       0.05992510476533104      
2400                     3.579657221171591        10311688                 8.69931794901394         0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.958770492              0.05                     22.458340403798502       2e-05                    0.43775984726380557      4e-06                    0.35986328125            -3.7690492               10.427428                1.944983861025642        1.0                      0.9839154411764706       1e-05                    81575                    0.29318274119321036      0.9020515505005331       0.32003859244287014      0.39786679297685623      0.05524878905099981      
2600                     3.8665880452924304       11173026                 3.7239811366056212       0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.955325124              0.05                     20.833624276303453       2e-05                    0.4491805155412294       4e-06                    0.347900390625           0.053657074              0.8803795                1.7885742748484892       1.0                      0.9847196691176471       1e-05                    88375                    0.2953990049221936       0.8900032919995925       0.3214361686259508       0.38962732441723347      0.05055370751549216      
2800                     4.158671465383636        12035252                 3.56945288036514         0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.951876288              0.05                     30.244305216299836       2e-05                    0.45602022716775537      4e-06                    0.330810546875           0.83716303               5.8825674                1.6472110327552347       1.0                      0.9877068014705883       1e-05                    95175                    0.2941139340400696       0.8941478553940267       0.31561569031327963      0.37615547701716423      0.04653618112206459      
3000                     4.484815308981472        12896611                 7.004804662451857        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.948430688              0.05                     21.758826705045067       2e-05                    0.44179148762486875      4e-06                    0.34765625               -0.56026083              2.755416                 1.519390533952152        1.0                      0.9883961397058824       1e-05                    101975                   0.2972499465241152       0.8785937744028428       0.3239132687449455       0.3799094222486019       0.042536169947946775     
3200                     4.875289499229855        13754695                 6.504751209098144        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.94499846               0.05                     18.422770162753295       2e-05                    0.4311802362790331       4e-06                    0.28369140625            0.55164146               6.9885936                1.4139917317558737       1.0                      0.9881663602941176       1e-05                    108775                   0.29656039090717545      0.8822589341331931       0.29103586077690125      0.37712983787059784      0.040058231748202264     
3400                     5.224474461476008        14611833                 7.260935264953677        0.0                      0.3983491570945514       1.5165216094516023       0.0                      1.0                      0.941569816              0.05                     12.051519252243452       2e-05                    0.4233112476649694       4e-06                    0.2998046875             -0.105097555             1.3500656                1.3066491589826696       1.0                      0.9844898897058825       1e-05                    115575                   0.29942210281596465      0.8689947093234343       0.3267025761306286       0.37704339623451233      0.03645129983916002      
