Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.0015909570455551149    8389                     3.1852639544068615       0.0                      0.12077915547884291      0.9002184683244301       0.0                      1.0                      0.99998318               0.05                     24.510986027369896       2e-05                    0.456655201005439        4e-06                    0.23515624999999998      2.0034196                2.2368696                83.30868668989703        0.6692708333333334       0.5741003787878788       1e-05                    33                       0.4453830502249978       2.0602687777894912       0.0                      0.0                      7.587224671334932        
200                      0.245326130522622        851929                   3.9972952137381585       0.0                      0.053033819912993545     1.0699342913174563       0.0                      1.0                      0.996609292              0.05                     47.59658769797534        2e-05                    0.4504113330040127       4e-06                    0.201171875              -0.9329895               4.0727205                10.115228428560146       0.9996553308823529       0.9333639705882353       1e-05                    6708                     0.30152533860767583      0.9647743526627035       0.4644978195428848       0.5602167155593634       0.6451417873887455       
400                      0.4984567112392849       1707887                  5.754154782902414        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.993185628              0.05                     3.8055540325585753       2e-05                    0.445966029597912        4e-06                    0.23779296875            -0.25799513              1.5477335                6.854378840502571        1.0                      0.9638097426470589       1e-05                    13508                    0.2971676237442914       0.9274529534227707       0.45903357677161694      0.5060386173427105       0.37893418704762183      
600                      0.7416334527730942       2567049                  4.525793376070308        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.9897490760000001       0.05000000000000001      6.571630410151556        2e-05                    0.4456366199301556       4e-06                    0.18505859375            -0.76061136              3.9665887                5.490513380836038        0.9998851102941176       0.9601332720588235       1e-05                    20308                    0.3197963237762451       0.8070966461125542       0.6402612570673227       0.5306756123900414       0.2817633099415723       
800                      0.9930310946702957       3426721                  4.629053343678724        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.986310436              0.05                     6.317907853634097        2e-05                    0.434051223914139        4e-06                    0.287841796875           -1.0111516               3.5529091                4.676972529467415        0.997702205882353        0.9543887867647058       1e-05                    27107                    0.3470504827359144       0.6745460629463196       0.7256821319460869       0.5053626038134098       0.22992871877025156      
1000                     1.2424276547961766       4286166                  5.137161440377359        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.982872588              0.05                     6.613972535124049        2e-05                    0.44421395409153774      4e-06                    0.233642578125           0.91901606               2.5532973                3.8682591213899498       0.9943704044117647       0.9651884191176471       1e-05                    33907                    0.343110286137637        0.6839251693557291       0.6582866497337818       0.4694397822022438       0.1767377003150828       
1200                     1.5005834478139877       5145942                  4.45703617418239         0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.97943346               0.05                     8.748342281207442        2e-05                    0.4410486618289724       4e-06                    0.2373046875             0.06441231               2.8616092                3.373315264196957        0.9962086397058824       0.9711626838235294       1e-05                    40707                    0.34495834567967587      0.6688702492152943       0.6403331160545349       0.4532986357808113       0.149693340939634        
1400                     1.7640316720141305       6005666                  4.419029469521375        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.9759946079999999       0.049999999999999996     9.040501659736037        2e-05                    0.437533718184568        4e-06                    0.18408203125            -0.29584774              3.094048                 2.9927132269915413       0.9956341911764706       0.9761029411764706       1e-05                    47507                    0.3531225200961618       0.628026050679824        0.7102124914526939       0.4333479106426239       0.12975846055675955      
1600                     2.0295944259564083       6865586                  5.233184186206687        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.972554964              0.05                     4.991412167437375        2e-05                    0.45890722918557003      4e-06                    0.216552734375           0.0608046                2.0841448                2.687853785122142        0.9956341911764706       0.9787454044117647       1e-05                    54307                    0.3588692423175363       0.5988162194981295       0.7389666773378849       0.42079476080834866      0.115456421585644        
1800                     2.2827646343575583       7724976                  3.9417134215339606       0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.969117156              0.05                     6.027914870297536        2e-05                    0.4376146300928667       4e-06                    0.144287109375           -0.18932274              2.657982                 2.416835462345796        0.9940257352941178       0.9790900735294117       1e-05                    61107                    0.361987466321272        0.584098896559547        0.7392536029219627       0.4107842557132244       0.10241487841395772      
2000                     2.5387305445141264       8584793                  5.166834059529149        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.965678156              0.05                     6.311571609228849        2e-05                    0.43849628476891667      4e-06                    0.2216796875             0.79197097               3.2777681                2.1673631107105926       0.9944852941176471       0.9855238970588235       1e-05                    67907                    0.36368746266645546      0.5734431568314047       0.7951078787446022       0.38904180377721786      0.0899089754504316       
2200                     2.7937341940402987       9444051                  1.9341117623876678       0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.962241148              0.05                     7.300651030614972        2e-05                    0.43589902302483097      4e-06                    0.243408203125           -0.17291045              4.162504                 1.9411087036132812       0.9944852941176472       0.9852941176470589       1e-05                    74707                    0.3670112683492548       0.5585778881521786       0.7701598480343819       0.3875683806836605       0.07808128262267394      
2400                     3.049710314737426        10303794                 4.88633505060788         0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.9588020079999999       0.049999999999999996     7.323961246758699        2e-05                    0.44294840324437246      4e-06                    0.18115234375            0.44331226               2.4500325                1.752794672461117        0.9944852941176471       0.9833409926470589       1e-05                    81506                    0.3701333736672121       0.5438717498498804       0.7824243605136871       0.3899244423955679       0.06855512322748408      
2600                     3.304165606300036        11163003                 4.35243574966163         0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.955365204              0.05                     9.863600397948176        2e-05                    0.4343536052037962       4e-06                    0.1796875                -1.0114489               2.962583                 1.5737256442799286       0.9936810661764706       0.9852941176470589       1e-05                    88306                    0.3717173776205848       0.5363889546955334       0.8179954178631306       0.37463075295090675      0.058693283840137375     
2800                     3.561765134334564        12022302                 3.5510678645756144       0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.951928008              0.05                     6.164205426815897        2e-05                    0.42987421969883144      4e-06                    0.18310546875            -0.38326308              2.9743352                1.433364377302282        0.9949448529411764       0.9829963235294117       1e-05                    95106                    0.37604308829588046      0.5179089027292588       0.8120790868997574       0.3841329198330641       0.051136408001184464     
3000                     3.819108320540852        12882296                 4.039541263023897        0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.948487996              0.05                     4.556682914495468        2e-05                    0.431711311917752        4e-06                    0.220458984375           0.039827198              2.4475062                1.3073955002953024       0.9949448529411765       0.9858685661764706       1e-05                    101906                   0.37626973671071673      0.5158153597046347       0.8465358354151249       0.35196738317608833      0.04472849956330131      
3200                     4.075870296756427        13738079                 5.4665876427689675       0.0                      0.055495142440862344     1.0580332397560348       0.0                      1.0                      0.945064736              0.05                     7.108455510577187        2e-05                    0.43115423939889297      4e-06                    0.224365234375           -1.380538                5.3766403                1.2121548021540922       0.9939108455882354       0.9851792279411765       1e-05                    108705                   0.3784431832678178       0.5056252935353447       0.8453748784959316       0.34306452237069607      0.04027434876736473      
