Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.004101193149884542     8253                     2.2683516220890025       0.0                      0.2673254197760926       1.6314929392270103       0.0                      1.0                      0.999983484              0.05                     68.42405577500662        2e-05                    0.4803012624382973       4e-06                    0.09010416666666668      5.515735                 13.837443                80.22010017163825        0.6541193181818181       0.5884232954545454       1e-05                    33                       0.42025606559984613      2.247435829856179        0.0                      0.0                      7.253914226185191        
200                      0.4465822680128945       833600                   3.8905098766654325       0.0                      0.4677095400553051       1.5803068004543108       0.0                      1.0                      0.99668206               0.05                     4.324503980576992        2e-05                    0.4414752791635692       4e-06                    0.197021484375           -0.8658758               2.552891                 7.30616586858576         1.0                      0.9332386363636364       1e-05                    6633                     0.2928898334503174       1.015868562640566        0.5271855667233467       0.602643296122551        0.3096866318673799       
400                      0.8933059353298611       1659636                  8.686138287791898        0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.993377988              0.05                     2.445195646956563        2e-05                    0.42719229497015476      4e-06                    0.208984375              -0.07667083              2.3330228                5.932345766009706        1.0                      0.9524147727272727       1e-05                    13233                    0.2906943740266742       0.989009192495635        0.48707590997219086      0.5577083230018616       0.2170296437812574       
600                      1.337397857374615        2485469                  2.865026657502187        0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.990074596              0.05                     3.1210961556062102       2e-05                    0.44370146514847875      4e-06                    0.27685546875            -0.196149                2.2177887                5.138929309266986        1.0                      0.9647253787878788       1e-05                    19833                    0.2896450938600482       0.9769302570458613       0.4327995404601097       0.505430206656456        0.17368153369787967      
800                      1.7806445453564326       3311493                  9.44246286923611         0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.98677052               0.05                     4.240531364455819        2e-05                    0.4301720429211855       4e-06                    0.292724609375           -1.0587138               3.9565418                4.615156693892045        1.0                      0.9822443181818181       1e-05                    26433                    0.2891101259173769       0.9494669509656501       0.439655102789402        0.4806192219257355       0.1547972072254528       
1000                     2.2229252276817957       4137472                  2.597568280267483        0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.983466588              0.05                     7.113450702279806        2e-05                    0.42549292580224574      4e-06                    0.267333984375           -0.25856116              4.2424498                4.153838533343691        1.0                      0.9818892045454546       1e-05                    33033                    0.2900848749912146       0.9407675049521707       0.3939348980784416       0.4672693833708763       0.1365657141714385       
1200                     2.662739334636264        4963485                  2.827239580823734        0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.980162576              0.05                     5.1886828802526          2e-05                    0.43642263067886233      4e-06                    0.270263671875           0.55273294               3.5801728                3.6916517199891983       1.0                      0.9814157196969697       1e-05                    39633                    0.2912120819091797       0.9278746229229551       0.3948751389980316       0.4504542499780655       0.11548701018998117      
1400                     3.102000728978051        5789660                  5.267702299607574        0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.976857852              0.05                     5.421366345137358        2e-05                    0.4416034100577235       4e-06                    0.335205078125           0.09937171               2.374963                 3.3210312814423535       1.0                      0.9837831439393939       1e-05                    46233                    0.2911087382923473       0.9261464639143511       0.32899239659309387      0.4223199412226677       0.100300107941483        
1600                     3.5499307114548153       6615802                  8.162156852493347        0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.9735532960000001       0.05000000000000001      5.332326527684927        2e-05                    0.4399509425275028       4e-06                    0.31298828125            -0.6974193               3.1211417                3.038059985998905        1.0                      0.9846117424242424       1e-05                    52833                    0.2933179031718861       0.9124043782552084       0.35395435988903046      0.42837177217006683      0.091490393335169        
1800                     4.036686628394657        7441814                  5.35256762634487         0.0                      0.46709583100458535      1.5723665696928504       0.0                      1.0                      0.970249176              0.05                     5.386925457045436        2e-05                    0.44932884629815817      4e-06                    0.293701171875           -0.055410538             3.2410078                2.7820552479137075       1.0                      0.9872159090909092       1e-05                    59433                    0.2914361520247026       0.9174102002924139       0.32951442152261734      0.4083566293120384       0.08394497632980347      
